category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;min. Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;15;69,307254;16,095034;POINT (543181 7689009);species;reproductive;min. Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
NT;3776;Numenius phaeopus;småspove;Fugler;Kenneth Lunna;03.08.2018 00:00:00;Stormyra, Andøy, No;300.0;Andøy;Nordland;2;69,273734;16,099849;POINT (543438 7685275);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No
LC;3754;Gallinago gallinago;enkeltbekkasin;Fugler;Kenneth Lunna;03.08.2018 00:00:00;Stormyra, Andøy, No;300.0;Andøy;Nordland;1;69,273734;16,099849;POINT (543438 7685275);species;possiblereproductive;Activity: AgitatedBehaviour. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4164;Corvus cornix;kråke;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,30833;16,106119;POINT (543616 7689137);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4252;Fringilla montifringilla;bjørkefink;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,306397;16,103101;POINT (543501 7688919);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;185969;Acanthis flammea;gråsisik;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,306397;16,103101;POINT (543501 7688919);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,305886;16,109641;POINT (543760 7688867);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;4372;Parus major;kjøttmeis;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,297806;16,119423;POINT (544162 7687973);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;20;69,281842;16,177446;POINT (546485 7686236);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;6;69,281842;16,177446;POINT (546485 7686236);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
EN;3705;Rissa tridactyla;krykkje;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;6;69,282528;16,182045;POINT (546665 7686316);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;4162;Corvus corax;ravn;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andenes, Andøy, No;25.0;Andøy;Nordland;1;69,287689;16,053828;POINT (541594 7686799);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;4;69,291784;16,163441;POINT (545911 7687334);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;4164;Corvus cornix;kråke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;6;69,300768;16,145259;POINT (545175 7688322);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3525;Mergus serrator;siland;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,288032;16,170681;POINT (546205 7686921);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,28094;16,175442;POINT (546408 7686134);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3694;Larus marinus;svartbak;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,28094;16,175442;POINT (546408 7686134);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;4332;Motacilla alba;linerle;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;3;69,285449;16,17599;POINT (546420 7686637);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204596;Gulosus aristotelis;toppskarv;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,287193;16,177787;POINT (546487 7686833);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
EN;3838;Sterna hirundo;makrellterne;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,283383;16,183958;POINT (546739 7686413);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3694;Larus marinus;svartbak;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;8;69,2998;16,158491;POINT (545699 7688224);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;25;69,2998;16,158491;POINT (545699 7688224);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,28624;16,165013;POINT (545985 7686717);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;4164;Corvus cornix;kråke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;2;69,291387;16,147909;POINT (545299 7687278);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;183926;Luscinia svecica;blåstrupe;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,286412;16,159326;POINT (545760 7686732);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,286412;16,159326;POINT (545760 7686732);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;156989;Calidris pugnax;brushane;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;55;69,296414;16,157754;POINT (545677 7687846);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3694;Larus marinus;svartbak;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;27;69,296414;16,157754;POINT (545677 7687846);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
VU;3677;Larus argentatus;gråmåke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;85;69,296414;16,157754;POINT (545677 7687846);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
;3955;Podiceps grisegena;gråstrupedykker;Fugler;Audun Skrindo;15.08.2018 00:00:00;Nattmålsvatnet, Stormyra, Andøy, No;712.0;Andøy;Nordland;2;69,28678;16,107197;POINT (543702 7686735);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Audun Skrindo;15.08.2018 00:00:00;Nattmålsvatnet, Stormyra, Andøy, No;712.0;Andøy;Nordland;4;69,28678;16,107197;POINT (543702 7686735);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Bjørn Olav Tveit;14.09.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;feeding;2 ad og 4 juv. Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Bjørn Olav Tveit;14.09.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;25;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3501;Bucephala clangula;kvinand;Fugler;Bjørn Olav Tveit;14.09.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Bjørn Olav Tveit;14.09.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;15;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3751;Calidris temminckii;temmincksnipe;Fugler;;21.07.1955 00:00:00;MUNKEVANN;5000.0;Andøy;Nordland;4;69,3;16,1;POINT (543391 7688204);species;possiblereproductive;;Unknown;Yes;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;John Stenersen;17.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;14;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;John Stenersen;17.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
EN;3838;Sterna hirundo;makrellterne;Fugler;John Stenersen;18.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;16;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3694;Larus marinus;svartbak;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307178;16,095313;POINT (543192 7689001);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Stig  Rasmussen;25.05.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307178;16,095313;POINT (543192 7689001);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;10;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Trolig 6-7 par Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
CR;3671;Chroicocephalus ridibundus;hettemåke;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;18;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
EN;3705;Rissa tridactyla;krykkje;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;14;69,307254;16,095034;POINT (543181 7689009);species;stationary;Vasker  seg Activity: Resting. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;20;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;7;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Martin Eggen;05.06.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;8;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3952;Podiceps auritus;horndykker;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3487;Aythya fuligula;toppand;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;5;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;8;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Martin Eggen|Oddvar Heggøy;21.07.2019 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307254;16,095034;POINT (543181 7689009);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Atle Ivar Olsen;20.07.2010 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;1;69,296024;16,127517;POINT (544485 7687780);species;moving;Activity: FlyingBy.;;Yes;No;No;No;No;No;No;No
VU;156989;Calidris pugnax;brushane;Fugler;Line Selvaag;01.06.1997 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;14;69,296024;16,127517;POINT (544485 7687780);species;;10 hanner og 3-4 hunner. Mulig hekkeområde.  Observatør/kilde: Stokke, M. 2005. Fugleregistreringer ved Andøya Flystasjon i perioden 1990-1997. Utskrift av feltdagbøker. Upublisert..;;No;Yes;No;No;No;No;No;No
VU;156989;Calidris pugnax;brushane;Fugler;Line Selvaag;01.07.2004 00:00:00;Hovedrullebane V, Andøya flystasjon, Andøy, No;500.0;Andøy;Nordland;1;69,301584;16,127427;POINT (544470 7688400);species;;Et reir lokalisert i 2004 i gresset like ved hovedbanen..;;No;Yes;No;No;No;No;No;No
NE;3738;Calidris canutus;polarsnipe;Fugler;Espen Bergersen;22.05.2003 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;20;69,296024;16,127517;POINT (544485 7687780);species;;;;No;No;No;No;No;No;No;No
LC;3685;Larus fuscus subsp. fuscus;ukjent;Fugler;Espen Bergersen;03.07.2002 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;2;69,296024;16,127517;POINT (544485 7687780);subspecies;;;;No;No;No;Yes;No;No;No;No
LC;184055;Oenanthe oenanthe;steinskvett;Fugler;Håvar Hveding|Johnny Bakken|Ole Petter Bergland;30.05.2004 00:00:00;Andøya flystasjon, Andøy, No;300.0;Andøy;Nordland;1;69,296024;16,127517;POINT (544485 7687780);species;;Antall ikke notert..;;No;No;No;No;No;No;No;No
NE;3731;Calidris alba;sandløper;Fugler;Line Selvaag;13.09.2005 00:00:00;Haugnes N, Andøya flystasjon, Andøy, No;620.0;Andøy;Nordland;14;69,290777;16,16133;POINT (545830 7687220);species;;14 individer registrert på feltbefaring 13.9.2005 av Bjørn Harald Larsen, Miljøfaglig Utredning AS. Espen Bergersen har tidligere gjort én observasjon av noen få individ om våren en gang mellom 1998-2002  Observatør/kilde: Bjørn Harald Larsen.;;No;No;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;Line Selvaag;13.09.2005 00:00:00;Haugnes N, Andøya flystasjon, Andøy, No;620.0;Andøy;Nordland;1;69,290777;16,16133;POINT (545830 7687220);species;;På trekk mot sør. Observatør/kilde: Bjørn Harald Larsen.;;No;Yes;No;No;No;No;No;No
LC;3840;Sterna paradisaea;rødnebbterne;Fugler;Line Selvaag;13.09.2005 00:00:00;Haugnes N, Andøya flystasjon, Andøy, No;620.0;Andøy;Nordland;1;69,290777;16,16133;POINT (545830 7687220);species;;Observert på matsøk utenfor lokaliteten. Observatør/kilde: Bjørn Harald Larsen.;;No;No;No;No;No;No;No;No
LC;4604;Asio flammeus;jordugle;Fugler;Anette Jensen;24.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;moving;Activity: FlyingBy.;;Yes;No;No;No;No;No;No;No
NT;3664;Haematopus ostralegus;tjeld;Fugler;Anette Jensen;03.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;stationary;Haugnes Activity: Stationary.;in pair;No;No;No;No;No;No;Yes;No
EN;3773;Numenius arquata;storspove;Fugler;Anette Jensen;01.04.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;moving;Activity: MigratingNorth.;;No;Yes;No;No;No;No;No;No
EN;3773;Numenius arquata;storspove;Fugler;Anette Jensen;01.05.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;Yes;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Anette Jensen;17.04.2012 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage.;in pair;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Anette Jensen;01.05.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;8;69,282608;16,151574;POINT (545462 7686302);species;stationary;Activity: Stationary.;in pair;No;No;No;No;No;No;No;No
LC;3461;Anas platyrhynchos;stokkand;Fugler;Anette Jensen;04.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;6;69,282608;16,151574;POINT (545462 7686302);species;feeding;Haugnes Activity: Forage.;in pair;No;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;03.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;stationary;Haugnes Activity: Stationary.;in pair;No;No;No;No;No;No;No;No
VU;3681;Larus canus;fiskemåke;Fugler;Anette Jensen;01.05.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;5;69,282608;16,151574;POINT (545462 7686302);species;stationary;Activity: Stationary.;;No;Yes;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;01.05.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;stationary;Activity: Stationary.;in pair;No;No;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Anette Jensen;01.05.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;4;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage.;;Yes;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;08.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;stationary;Haugnes Activity: Stationary.;in pair;No;No;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Anette Jensen;08.04.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;5;69,282608;16,151574;POINT (545462 7686302);species;feeding;Haugnes Activity: Forage.;;No;No;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Anette Jensen;06.03.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;4;69,282608;16,151574;POINT (545462 7686302);species;feeding;Næringsvandring Activity: Forage.;;Yes;No;No;No;No;No;No;No
LC;3887;Haliaeetus albicilla;havørn;Fugler;Anette Jensen;06.03.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;1;69,282608;16,151574;POINT (545462 7686302);species;stationary;Activity: Stationary.;;Yes;No;No;No;No;No;No;No
LC;204596;Gulosus aristotelis;toppskarv;Fugler;Anette Jensen;06.03.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;5;69,282608;16,151574;POINT (545462 7686302);species;;;;Yes;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;20.04.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;No;No
LC;4066;Lagopus lagopus;lirype;Fugler;Anette Jensen;20.04.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PermanentTerritory.;in pair;Yes;No;No;No;No;No;No;No
LC;3510;Cygnus cygnus;sangsvane;Fugler;Anette Jensen;01.05.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;No;No
LC;4217;Plectrophenax nivalis;snøspurv;Fugler;Anette Jensen;20.04.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;25;69,282608;16,151574;POINT (545462 7686302);species;moving;min antall Activity: FlyingBy.;;No;No;No;No;No;No;No;No
LC;204585;Mareca penelope;brunnakke;Fugler;Anette Jensen;01.05.2011 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;possiblereproductive;Activity: PairInSuitableHabitat.;in pair;No;No;No;No;No;No;No;No
LC;3454;Anas crecca;krikkand;Fugler;Anette Jensen;30.03.2012 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;2;69,282608;16,151574;POINT (545462 7686302);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No
LC;4217;Plectrophenax nivalis;snøspurv;Fugler;Anette Jensen;17.04.2012 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;150;69,282608;16,151574;POINT (545462 7686302);species;feeding;Min antall Activity: Forage.;;No;No;No;No;No;No;No;No
